_id,perfis,grauSatisfacao,observacao,tipoResposta,moduloPrincipal,versao
ObjectId(5f89c57f56efaa001be1e2c4),"[""COORDENADOR DA UBS""]",,,FECHADO,/relatorios/consolidados/cadastro-domiciliar,4.1.00
ObjectId(5f8ee46b56efaa001be1e2c5),"[""COORDENADOR DA UBS""]",,,FECHADO,/relatorios/producao/atendimento-individual,4.1.00
ObjectId(5f90144156efaa001be1e2c6),"[""MÉDICO"",""ESCUTA INICIAL""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f90cbec56efaa001be1e2c7),"[""ENFERMEIRO UPA""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f90cbf356efaa001be1e2c8),"[""ESCUTA INICIAL"",""MÉDICO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f90cd8456efaa001be1e2c9),"[""ESCUTA INICIAL"",""MÉDICO""]",SATISFEITO,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f90ce7756efaa001be1e2ca),"[""ESCUTA INICIAL"",""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""CADASTRO CIDADÃO""]",SATISFEITO,,ENVIADO,/cidadao,4.1.00
ObjectId(5f90cec256efaa001be1e2cb),"[""RECEPÇÃO""]",,,FECHADO,/cidadao,4.1.00
ObjectId(5f90cf0d56efaa001be1e2cc),"[""ENFERMEIRO UPA""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f90d0ac56efaa001be1e2cd),"[""ESCUTA INICIAL"",""MÉDICO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f90d1df56efaa001be1e2ce),"[""ESCUTA INICIAL"",""OUTRO PROF. NÍVEL SUPERIOR"",""MÉDICO"",""ENFERMEIRO AD""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f90d30b56efaa001be1e2cf),"[""MEDICO UPA""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f90d36f56efaa001be1e2d0),"[""ESCUTA INICIAL"",""RECEPÇÃO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f90d3f056efaa001be1e2d1),"[""MÉDICO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f90d57156efaa001be1e2d2),"[""ESCUTA INICIAL"",""ENFERMEIRO""]",,,NAO_RESPONDIDO,/lista-atendimento,4.1.00
ObjectId(5f90d62956efaa001be1e2d3),"[""ESCUTA INICIAL"",""ENFERMEIRO""]",,,NAO_RESPONDIDO,/lista-atendimento,4.1.00
ObjectId(5f90d71756efaa001be1e2d4),"[""ESCUTA INICIAL"",""ENFERMEIRO"",""RECEPÇÃO"",""COORDENADOR AD""]",SATISFEITO,,ENVIADO,/agenda,4.1.00
ObjectId(5f90db8f56efaa001be1e2d5),"[""ESCUTA INICIAL"",""ENFERMEIRO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f90dc7556efaa001be1e2d6),"[""ESCUTA INICIAL"",""MÉDICO""]",SATISFEITO,Devo ressalta que apresenta as vezes inconsistência no sentido que cai constantemente e não salva os atendimentos.,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f90dd9756efaa001be1e2d7),"[""ESCUTA INICIAL"",""ENFERMEIRO""]",,,FECHADO,/lista-atendimento,4.1.00
